Invoice ID,Date,Customer Name,Country to Ship To,Category,Rate,Quantity,Amount
26597,Apr 10 2012,Sung Shariari,Indonesia,"Storage, Office Supplies",$492.12,12,"$5,905.48"
13561,Sep 07 2012,Elpida Rittenbach,Spain,"Storage, Office Supplies, OFF-ST-4296",$457.33,9,"$4,115.93"
35579,Dec 19 2012,Adrian Barton,United States,Office Supplies,$3.69,1,$3.69
35500,Oct 30 2012,Anne McFarland,United States,"Art, Office Supplies",$49.25,5,$246.25
36600,Nov 15 2012,Alan Barnes,United States,"Chairs, Furniture",$37.30,2,$74.59
41218,Nov 23 2012,Alyssa Tate,United States,"Binders, Office Supplies",$5.74,3,$17.23
36194,Oct 14 2012,Anna Chung,United States,"Chairs, Furniture, FUR-CH-4413",$183.37,2,$366.74
9383,Dec 02 2012,Gene McClure,Nicaragua,"Copiers, Technology, TEC-CO-3708",$755.09,3,"$2,265.26"
6094,Nov 02 2012,Erica Hernandez,Cuba,"Phones, Technology",$292.80,6,"$1,756.80"
36195,Oct 14 2012,Anna Chung,United States,"Paper, Office Supplies, OFF-PA-6447",$7.97,2,$15.94
9907,Apr 03 2012,Barry Weirich,Brazil,"Copiers, Technology","$1,063.97",5,"$5,319.84"
36493,May 09 2012,Arianne Irving,United States,Office Supplies,$158.13,3,$474.39
3719,Feb 24 2012,Carlos Soltero,Brazil,"Copiers, Technology, TEC-CO-3709",$501.48,2,"$1,002.95"
14228,Sep 14 2012,Doug Jacobs,Spain,"Furnishings, Furniture",$749.07,7,"$5,243.49"
48319,Oct 31 2012,Hallie Redmond,Saudi Arabia,"Accessories, Technology","$1,549.98",6,"$9,299.88"
13511,Feb 02 2012,Ellis Ballard,Germany,"Copiers, Technology",$378.81,1,$378.81
16384,Dec 08 2012,Adam Hart,United Kingdom,"Bookcases, Furniture",$874.02,7,"$6,118.14"
5436,Oct 15 2012,Ellis Ballard,Nicaragua,"Copiers, Technology",$601.55,3,"$1,804.66"
767,Dec 28 2012,Annie Zypern,Nicaragua,"Chairs, Furniture","$2,429.44",8,"$19,435.52"
39387,Dec 06 2012,Ann Steele,United States,"Storage, Office Supplies",$269.36,7,"$1,885.52"
35876,Jul 26 2012,Aaron Smayling,United States,"Paper, Office Supplies",$65.78,11,$723.58
38318,Aug 22 2012,Arthur Prichep,United States,"Furnishings, Furniture",$4.22,3,$12.67
18991,Aug 16 2012,Delfina Latchford,Netherlands,"Bookcases, Furniture","$1,648.44",8,"$13,187.52"
35503,Oct 30 2012,Anne McFarland,United States,"Binders, Office Supplies",$34.08,2,$68.16
15521,Mar 29 2012,Chris Selesnick,Germany,"Chairs, Furniture, FUR-CH-5412",$729.14,5,"$3,645.68"
47905,Sep 13 2012,Aaron Hawkins,Democratic Republic of the Congo,"Phones, Technology","$3,817.26",6,"$22,903.56"
16997,Nov 29 2012,Anthony Witt,Netherlands,"Copiers, Technology","$1,440.84",8,"$11,526.72"
23581,Oct 02 2012,Jamie Kunitz,Australia,"Phones, Technology, TEC-PH-5249",$780.17,5,"$3,900.83"
11631,May 01 2012,Bill Donatelli,France,"Appliances, Office Supplies","$1,388.88",5,"$6,944.40"
21664,Feb 02 2012,Erin Smith,"Yunyang, Henan, China","Bookcases, Furniture","$1,052.31",7,"$7,366.17"
50000,Apr 26 2012,Cynthia Volt,Lesotho,"Phones, Technology, TEC-PH-5354","$2,544.60",4,"$10,178.40"
33729,Mar 24 2012,Annie Zypern,United States,"Chairs, Furniture",$366.79,7,"$2,567.50"
21858,Mar 03 2012,Brad Eason,China,"Phones, Technology",$554.76,3,"$1,664.28"
44270,Aug 08 2012,Carl Weiss,Lebanon,Furniture,$457.14,1,$457.14
37563,Nov 02 2012,Annie Thurman,United States,"Paper, Office Supplies",$143.86,9,"$1,294.70"
21665,Feb 02 2012,Erin Smith,China,"Tables, Furniture",$692.33,2,"$1,384.66"
39748,Apr 27 2012,Arianne Irving,United States,"Phones, Technology, TEC-PH-5817","$1,679.96",5,"$8,399.80"
27932,Oct 14 2012,Fred Wasserman,Bangladesh,"Copiers, Technology, TEC-CO-4576",$958.68,3,"$2,876.04"
23213,Jul 29 2012,Corey Roper,South Korea,"Storage, Office Supplies",$619.20,6,"$3,715.20"
5917,Nov 27 2012,Sung Chung,Mexico,"Machines, Technology, TEC-MA-5571",$533.22,3,"$1,599.66"
35502,Oct 30 2012,Anne McFarland,United States,"Furnishings, Furniture",14.76,2,29.52
25045,Jul 19 2012,Bruce Stewart,Australia,"Bookcases, Furniture","$1,535.81",7,"$10,750.70"
16144,Apr 17 2012,Candace McMahon,France,"Machines, Technology","$2,016.85",9,"$18,151.61"
12204,Apr 10 2012,Berenike Kampe,Germany,"Copiers, Technology",$785.34,3,"$2,356.02"
46335,Dec 19 2012,Emily Grady,Algeria,"Appliances, Office Supplies","$1,111.56",4,"$4,446.24"
